stock_code,transaction_date,pattern_type,pattern_explanation
603538,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600903,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603435,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
600736,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
603399,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600857,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
600076,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
603330,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
600382,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
603082,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
605389,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
605366,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
605299,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
600186,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
605162,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
605069,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
603045,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600303,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
603717,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600330,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
603005,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
603721,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
601991,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
603324,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
603937,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
688496,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
603008,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
601890,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
688509,20260630,连续小单推升,用大量小单持续买入缓慢推高股价避免引起注意
605066,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
600203,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
603918,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
603679,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
600293,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
600527,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603936,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603289,20260630,连续小单推升,用大量小单持续买入缓慢推高股价避免引起注意
600127,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600448,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
600479,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
600759,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
600768,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
600782,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
600785,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600796,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
600866,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
601999,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
603028,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
603075,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
603118,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603331,20260630,分时脉冲,短时间内快速拉升后迅速回落试探上方抛压
603359,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
603686,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
603700,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
688560,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
600161,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
601117,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600009,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603893,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
601186,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600893,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
688082,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
601009,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
600025,20260630,连续小单推升,用大量小单持续买入缓慢推高股价避免引起注意
688008,20260630,连续小单推升,用大量小单持续买入缓慢推高股价避免引起注意
601328,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
601939,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
688169,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
601872,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
601398,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
600018,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
