stock_code,transaction_date,pattern_type,pattern_explanation
600866,20260706,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600893,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600903,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
600936,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
601009,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
601117,20260706,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
601186,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
601328,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
601398,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
601872,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
601890,20260706,涨停板打开,封板后反复打开，制造换手假象
601939,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
601991,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
601999,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603005,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603007,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603008,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603028,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603045,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603075,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603082,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603095,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603118,20260706,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
603248,20260706,涨停板打开,封板后反复打开，制造换手假象
603289,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603316,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603318,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603324,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603330,20260706,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
603331,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603344,20260706,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
603359,20260706,涨停板打开,封板后反复打开，制造换手假象
603399,20260706,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
603407,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
603435,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603459,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603538,20260706,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
603601,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603608,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603679,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
603686,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603700,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603717,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603773,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
603779,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603893,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603918,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
603936,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603937,20260706,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
605006,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
605066,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
605069,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
605162,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
605287,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
605299,20260706,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
605366,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
605389,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
688008,20260706,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
688082,20260706,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
688169,20260706,涨停板打开,封板后反复打开，制造换手假象
688496,20260706,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
688509,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
688560,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
